Date,Time,TT01 (Â°C),TT02 (Â°C),TT02 bis (Â°C),TT03 (Â°C),TT03 bis,TT04 (Â°C),TT05 (Â°C),TT05 bis,FIC01 PV (L/min),FIC01 OP (%),FT02 (L/min),FT03 (L/min),FT04 (L/min),FT05 (L/min),FT06 (L/min),PT01 (bar),PIC02 PV (bar),PIC02 OP (%),PT03 (bar),PT04 (bar),CT01 (mS),CT02 (mS),CT03 (ÂµS)
27/02/2023,13:40:21,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.014,1.374,78
27/02/2023,13:40:21,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.014,1.374,78
27/02/2023,13:40:26,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.013,1.388,86
27/02/2023,13:40:31,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.013,1.389,87
27/02/2023,13:40:36,21.2,21.4,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.013,1.395,88
27/02/2023,13:40:41,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.013,1.394,88
27/02/2023,13:40:46,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.014,1.403,87
27/02/2023,13:40:51,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.011,1.403,88
27/02/2023,13:40:56,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.01,1.396,88
27/02/2023,13:41:01,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.014,1.401,88
27/02/2023,13:41:06,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.013,1.404,87
27/02/2023,13:41:11,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.013,1.403,88
27/02/2023,13:41:16,21.2,21.3,20.7,22,21.4,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.01,1.403,87
27/02/2023,13:41:21,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.013,1.404,88
27/02/2023,13:41:26,21.2,21.3,20.7,22,21.5,21.7,22.4,20.8,0,100,0,0,0,0,0,-0.1,0.1,100,0,0,0.013,1.403,87
